timestamp_ms,accX_g,accY_g,accZ_g,gyrX,gyrY,gyrZ,step_count,cadence_spm,peak_impact_g
1784073127433,0.24498475,-0.1649499,0.088331155,1.33,-47.88,-5.11,10,60.0,7.533754
1784073127433,0.16006972,-0.23839653,-0.024156863,23.94,-38.78,-14.56,10,60.0,7.533754
1784073127433,0.09955555,-0.29281047,-0.08369499,26.67,-26.880001,-22.75,10,60.0,7.533754
1784073127433,0.12444445,-0.35332462,0.11175599,18.2,-15.68,-27.72,10,60.0,7.533754
1784073127433,0.26108932,-0.26694554,0.8428061,7.28,-19.6,-29.26,10,60.0,7.533754
1784073127433,0.88233554,-0.20765142,1.9708583,-0.98,-50.82,-18.13,10,60.0,7.533754
1784073127523,1.3547364,0.012200436,1.7131852,66.15,-83.090004,2.94,10,60.0,7.533754
1784073127523,-0.18959478,-0.16324182,0.42530718,126.42,-87.64,2.59,11,66.0,7.533754
1784073127523,-1.1878345,-0.3730893,-0.4872854,129.92,-59.5,-17.22,11,66.0,7.533754
1784073127523,-1.007512,0.16446187,-0.4250632,134.82,-30.24,-18.69,12,72.0,7.533754
